"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","rash,headache","null","76,90","B","A","76","common","training","1","true","1","categorize-html","4","99061","0.0-4.0-0.0","76351","20222321","none"
"153","false","rash,headache","32","76,90","B","A","76","common","training","2","true","1","categorize-html","6","100220","0.0-4.0-2.0","76351","20222321","none"
"1724","false","headache,rash","32","76,90","A","B","76","common","training","3","true","1","categorize-html","8","102949","0.0-4.0-4.0","76351","20222321","none"
"1252","false","headache,rash","32","76,90","A","B","76","common","training","4","true","1","categorize-html","10","105204","0.0-4.0-6.0","76351","20222321","none"
"2064","false","headache,fever","32","76,90","A","C","90","rare","training","5","true","1","categorize-html","12","108272","0.0-4.0-8.0","76351","20222321","none"
"1176","false","headache,rash","32","76,90","A","B","76","common","training","6","true","1","categorize-html","14","110452","0.0-4.0-10.0","76351","20222321","none"
"3302.0000000000146","false","rash,headache","32","76,90","B","A","76","common","training","7","true","1","categorize-html","16","114757","0.0-4.0-12.0","76351","20222321","none"
"1665.9999999999854","false","fever,headache","32","76,90","C","A","90","rare","training","8","true","1","categorize-html","18","117426","0.0-4.0-14.0","76351","20222321","none"
"1875","false","rash,headache","32","76,90","B","A","76","common","training","9","true","2","categorize-html","21","123657","0.0-4.0-17.0","76351","20222321","none"
"1058.0000000000146","false","rash,headache","32","76,90","B","A","76","common","training","10","true","2","categorize-html","23","125718","0.0-4.0-19.0","76351","20222321","none"
"699","false","rash,headache","32","76,90","B","A","76","common","training","11","true","2","categorize-html","25","127421","0.0-4.0-21.0","76351","20222321","none"
"815","false","headache,fever","32","76,90","A","C","90","rare","training","12","true","2","categorize-html","27","129240","0.0-4.0-23.0","76351","20222321","none"
"1151","false","headache,rash","32","76,90","A","B","76","common","training","13","true","2","categorize-html","29","131396","0.0-4.0-25.0","76351","20222321","none"
"815","false","fever,headache","32","76,90","C","A","90","rare","training","14","true","2","categorize-html","31","133214","0.0-4.0-27.0","76351","20222321","none"
"691","false","headache,rash","32","76,90","A","B","76","common","training","15","true","2","categorize-html","33","134909","0.0-4.0-29.0","76351","20222321","none"
"979.9999999999709","false","headache,rash","32","76,90","A","B","76","common","training","16","true","2","categorize-html","35","136894","0.0-4.0-31.0","76351","20222321","none"
"7702","false","fever","76","76,90","C","","","","test","1","true","","categorize-html","39","168475","0.0-6.0-0.0","76351","20222321","common"
"1222.000000000029","false","headache,rash","90","76,90","A","B","","","test","2","true","","categorize-html","41","171201","0.0-6.0-2.0","76351","20222321","rare"
"728.0000000000291","false","rash,fever","76","76,90","B","C","","","test","3","true","","categorize-html","43","173433","0.0-6.0-4.0","76351","20222321","common"
"582.9999999999709","false","rash","76","76,90","B","","","","test","4","true","","categorize-html","45","175521","0.0-6.0-6.0","76351","20222321","common"
"6025","false","fever","76","76,90","C","","","","test","5","true","","categorize-html","47","183051","0.0-6.0-8.0","76351","20222321","common"
"1640","false","fever,headache","76","76,90","C","A","","","test","6","true","","categorize-html","49","186195","0.0-6.0-10.0","76351","20222321","common"
"892","false","headache","76","76,90","A","","","","test","7","true","","categorize-html","51","188593","0.0-6.0-12.0","76351","20222321","common"
"1166","false","headache","76","76,90","A","","","","test","8","true","","categorize-html","53","191263","0.0-6.0-14.0","76351","20222321","common"
"1540","false","rash","90","76,90","B","","","","test","9","true","","categorize-html","55","194308","0.0-6.0-16.0","76351","20222321","rare"
"5120","false","fever,rash","90","76,90","C","B","","","test","10","true","","categorize-html","57","200934","0.0-6.0-18.0","76351","20222321","rare"
"1093","false","headache,fever","76","76,90","A","C","","","test","11","true","","categorize-html","59","203532","0.0-6.0-20.0","76351","20222321","common"
"862","false","rash,headache","90","76,90","B","A","","","test","12","true","","categorize-html","61","205898","0.0-6.0-22.0","76351","20222321","rare"
"598.0000000000291","false","fever","76","76,90","C","","","","test","13","true","","categorize-html","63","208001","0.0-6.0-24.0","76351","20222321","common"
"1091","false","rash","90","76,90","B","","","","test","14","true","","categorize-html","65","210597","0.0-6.0-26.0","76351","20222321","rare"
"744.9999999999709","false","headache","76","76,90","A","","","","test","15","true","","categorize-html","67","212847","0.0-6.0-28.0","76351","20222321","common"
"682.9999999999709","false","rash","90","76,90","B","","","","test","16","true","","categorize-html","69","215035","0.0-6.0-30.0","76351","20222321","rare"
"678","false","fever","76","76,90","C","","","","test","17","true","","categorize-html","71","217218","0.0-6.0-32.0","76351","20222321","common"
"743","false","headache,rash","76","76,90","A","B","","","test","18","true","","categorize-html","73","219466","0.0-6.0-34.0","76351","20222321","common"
"1206","false","rash,headache","90","76,90","B","A","","","test","19","true","","categorize-html","75","222178","0.0-6.0-36.0","76351","20222321","rare"
"576","false","rash,fever","76","76,90","B","C","","","test","20","true","","categorize-html","77","224258","0.0-6.0-38.0","76351","20222321","common"
"886.9999999999709","false","headache","76","76,90","A","","","","test","21","true","","categorize-html","79","226650","0.0-6.0-40.0","76351","20222321","common"
"1871","false","fever,headache","76","76,90","C","A","","","test","22","true","","categorize-html","81","230026","0.0-6.0-42.0","76351","20222321","common"
"1124","false","headache,fever","90","76,90","A","C","","","test","23","true","","categorize-html","83","232655","0.0-6.0-44.0","76351","20222321","rare"
"1660","false","fever,rash","90","76,90","C","B","","","test","24","true","","categorize-html","85","235819","0.0-6.0-46.0","76351","20222321","rare"
"1138","false","fever","76","76,90","C","","","","test","25","true","","categorize-html","88","240888","0.0-6.0-49.0","76351","20222321","common"
"973","false","headache,fever","76","76,90","A","C","","","test","26","true","","categorize-html","90","243366","0.0-6.0-51.0","76351","20222321","common"
"1818","false","rash,fever","90","76,90","B","C","","","test","27","true","","categorize-html","92","246690","0.0-6.0-53.0","76351","20222321","rare"
"649","false","rash","76","76,90","B","","","","test","28","true","","categorize-html","94","248845","0.0-6.0-55.0","76351","20222321","common"
"809","false","headache","76","76,90","A","","","","test","29","true","","categorize-html","96","251159","0.0-6.0-57.0","76351","20222321","common"
"1315","false","headache","76","76,90","A","","","","test","30","true","","categorize-html","98","253979","0.0-6.0-59.0","76351","20222321","common"
"825.9999999999709","false","fever,headache","76","76,90","C","A","","","test","31","true","","categorize-html","100","256310","0.0-6.0-61.0","76351","20222321","common"
"478.0000000000291","false","rash","90","76,90","B","","","","test","32","true","","categorize-html","102","258293","0.0-6.0-63.0","76351","20222321","rare"
"654.9999999999709","false","fever","76","76,90","C","","","","test","33","true","","categorize-html","104","260453","0.0-6.0-65.0","76351","20222321","common"
"563","false","rash,headache","76","76,90","B","A","","","test","34","true","","categorize-html","106","262521","0.0-6.0-67.0","76351","20222321","common"
"957","false","headache,rash","90","76,90","A","B","","","test","35","true","","categorize-html","108","264982","0.0-6.0-69.0","76351","20222321","rare"
"1270","false","fever,rash","90","76,90","C","B","","","test","36","true","","categorize-html","110","267756","0.0-6.0-71.0","76351","20222321","rare"
"703.9999999999418","false","fever,rash","90","76,90","C","B","","","test","37","true","","categorize-html","112","269965","0.0-6.0-73.0","76351","20222321","rare"
"706","false","fever","76","76,90","C","","","","test","38","true","","categorize-html","114","272176","0.0-6.0-75.0","76351","20222321","common"
"1055","false","headache,rash","90","76,90","A","B","","","test","39","true","","categorize-html","116","274736","0.0-6.0-77.0","76351","20222321","rare"
"593","false","headache","76","76,90","A","","","","test","40","true","","categorize-html","118","276834","0.0-6.0-79.0","76351","20222321","common"
"758.9999999999418","false","rash","76","76,90","B","","","","test","41","true","","categorize-html","120","279097","0.0-6.0-81.0","76351","20222321","common"
"908","false","headache,fever","76","76,90","A","C","","","test","42","true","","categorize-html","122","281510","0.0-6.0-83.0","76351","20222321","common"
"535","false","headache","76","76,90","A","","","","test","43","true","","categorize-html","124","283549","0.0-6.0-85.0","76351","20222321","common"
"865","false","rash,headache","90","76,90","B","A","","","test","44","true","","categorize-html","126","285919","0.0-6.0-87.0","76351","20222321","rare"
"632.9999999999418","false","fever","76","76,90","C","","","","test","45","true","","categorize-html","128","288055","0.0-6.0-89.0","76351","20222321","common"
"2443","false","fever,headache","90","76,90","C","A","","","test","46","true","","categorize-html","130","292003","0.0-6.0-91.0","76351","20222321","rare"
"554","false","rash","90","76,90","B","","","","test","47","true","","categorize-html","132","294061","0.0-6.0-93.0","76351","20222321","rare"
"959","false","rash,fever","90","76,90","B","C","","","test","48","true","","categorize-html","134","296526","0.0-6.0-95.0","76351","20222321","rare"
"2029.0000000000582","false","rash,fever","90","76,90","B","C","","","test","49","true","","categorize-html","137","302185","0.0-6.0-98.0","76351","20222321","rare"
"603.9999999999418","false","fever","76","76,90","C","","","","test","50","true","","categorize-html","139","304293","0.0-6.0-100.0","76351","20222321","common"
"452","false","fever,headache","76","76,90","C","A","","","test","51","true","","categorize-html","141","306249","0.0-6.0-102.0","76351","20222321","common"
"726","false","headache,fever","90","76,90","A","C","","","test","52","true","","categorize-html","143","308479","0.0-6.0-104.0","76351","20222321","rare"
"734","false","rash,headache","90","76,90","B","A","","","test","53","true","","categorize-html","145","310717","0.0-6.0-106.0","76351","20222321","rare"
"620","false","fever","76","76,90","C","","","","test","54","true","","categorize-html","147","312841","0.0-6.0-108.0","76351","20222321","common"
"542","false","rash","76","76,90","B","","","","test","55","true","","categorize-html","149","314889","0.0-6.0-110.0","76351","20222321","common"
"885","false","headache,rash","90","76,90","A","B","","","test","56","true","","categorize-html","151","317279","0.0-6.0-112.0","76351","20222321","rare"
"813","false","headache","76","76,90","A","","","","test","57","true","","categorize-html","153","319596","0.0-6.0-114.0","76351","20222321","common"
"1135","false","fever,rash","90","76,90","C","B","","","test","58","true","","categorize-html","155","322235","0.0-6.0-116.0","76351","20222321","rare"
"608.9999999999418","false","rash","90","76,90","B","","","","test","59","true","","categorize-html","157","324348","0.0-6.0-118.0","76351","20222321","rare"
"997","false","headache","76","76,90","A","","","","test","60","true","","categorize-html","159","326850","0.0-6.0-120.0","76351","20222321","common"
"1022","false","fever","90","76,90","C","","","","test","61","true","","categorize-html","161","329377","0.0-6.0-122.0","76351","20222321","rare"
"720","false","fever,headache","76","76,90","C","A","","","test","62","true","","categorize-html","163","331600","0.0-6.0-124.0","76351","20222321","common"
"613","false","rash","90","76,90","B","","","","test","63","true","","categorize-html","165","333717","0.0-6.0-126.0","76351","20222321","rare"
"1326","false","rash,fever","76","76,90","B","C","","","test","64","true","","categorize-html","167","336547","0.0-6.0-128.0","76351","20222321","common"
"1320","false","headache,fever","76","76,90","A","C","","","test","65","true","","categorize-html","169","339371","0.0-6.0-130.0","76351","20222321","common"
"586","false","headache,rash","90","76,90","A","B","","","test","66","true","","categorize-html","171","341461","0.0-6.0-132.0","76351","20222321","rare"
"576.9999999999418","false","headache","76","76,90","A","","","","test","67","true","","categorize-html","173","343542","0.0-6.0-134.0","76351","20222321","common"
"1000","false","rash,headache","76","76,90","B","A","","","test","68","true","","categorize-html","175","346045","0.0-6.0-136.0","76351","20222321","common"
"468.9999999999418","false","fever,rash","76","76,90","C","B","","","test","69","true","","categorize-html","177","348019","0.0-6.0-138.0","76351","20222321","common"
"518","false","rash","90","76,90","B","","","","test","70","true","","categorize-html","179","350042","0.0-6.0-140.0","76351","20222321","rare"
"88","false","fever","90","76,90","C","","","","test","71","true","","categorize-html","181","351634","0.0-6.0-142.0","76351","20222321","rare"
"668.9999999999418","false","headache","76","76,90","A","","","","test","72","true","","categorize-html","183","353808","0.0-6.0-144.0","76351","20222321","common"
"905","false","rash","76","76,90","B","","","","test","73","true","","categorize-html","186","357508","0.0-6.0-147.0","76351","20222321","common"
"810","false","headache,rash","76","76,90","A","B","","","test","74","true","","categorize-html","188","359823","0.0-6.0-149.0","76351","20222321","common"
"506","false","fever","76","76,90","C","","","","test","75","true","","categorize-html","190","361832","0.0-6.0-151.0","76351","20222321","common"
"631.9999999999418","false","fever","76","76,90","C","","","","test","76","true","","categorize-html","192","363968","0.0-6.0-153.0","76351","20222321","common"
"1308.9999999999418","false","headache","90","76,90","A","","","","test","77","true","","categorize-html","194","366782","0.0-6.0-155.0","76351","20222321","rare"
"859","false","headache,fever","76","76,90","A","C","","","test","78","true","","categorize-html","196","369145","0.0-6.0-157.0","76351","20222321","common"
"468","false","rash","90","76,90","B","","","","test","79","true","","categorize-html","198","371119","0.0-6.0-159.0","76351","20222321","rare"
"1045","false","fever,rash","90","76,90","C","B","","","test","80","true","","categorize-html","200","373667","0.0-6.0-161.0","76351","20222321","rare"
"964","false","fever,headache","76","76,90","C","A","","","test","81","true","","categorize-html","202","376135","0.0-6.0-163.0","76351","20222321","common"
"1289","false","rash,headache","76","76,90","B","A","","","test","82","true","","categorize-html","204","378929","0.0-6.0-165.0","76351","20222321","common"
"641.0000000000582","false","headache","90","76,90","A","","","","test","83","true","","categorize-html","206","381074","0.0-6.0-167.0","76351","20222321","rare"
"1078","false","rash,fever","76","76,90","B","C","","","test","84","true","","categorize-html","208","383655","0.0-6.0-169.0","76351","20222321","common"
"523","false","fever","76","76,90","C","","","","test","85","true","","categorize-html","210","385681","0.0-6.0-171.0","76351","20222321","common"
"605","false","rash,fever","90","76,90","B","C","","","test","86","true","","categorize-html","212","387791","0.0-6.0-173.0","76351","20222321","rare"
"1227","false","fever,headache","76","76,90","C","A","","","test","87","true","","categorize-html","214","390522","0.0-6.0-175.0","76351","20222321","common"
"2454.999999999942","false","headache,rash","76","76,90","A","B","","","test","88","true","","categorize-html","216","394482","0.0-6.0-177.0","76351","20222321","common"
"688.9999999999418","false","rash,headache","76","76,90","B","A","","","test","89","true","","categorize-html","218","396674","0.0-6.0-179.0","76351","20222321","common"
"1026","false","headache","90","76,90","A","","","","test","90","true","","categorize-html","220","399204","0.0-6.0-181.0","76351","20222321","rare"
"692","false","rash","90","76,90","B","","","","test","91","true","","categorize-html","222","401400","0.0-6.0-183.0","76351","20222321","rare"
"1072","false","headache,fever","76","76,90","A","C","","","test","92","true","","categorize-html","224","403977","0.0-6.0-185.0","76351","20222321","common"
"910","false","headache","76","76,90","A","","","","test","93","true","","categorize-html","226","406392","0.0-6.0-187.0","76351","20222321","common"
"844","false","fever","76","76,90","C","","","","test","94","true","","categorize-html","228","408741","0.0-6.0-189.0","76351","20222321","common"
"4251","false","fever,rash","76","76,90","C","B","","","test","95","true","","categorize-html","230","414496","0.0-6.0-191.0","76351","20222321","common"
"630","false","rash","76","76,90","B","","","","test","96","true","","categorize-html","232","416631","0.0-6.0-193.0","76351","20222321","common"
"995","false","headache,fever","76","76,90","A","C","","","test","97","true","","categorize-html","235","420226","0.0-6.0-196.0","76351","20222321","common"
"1037","false","headache","90","76,90","A","","","","test","98","true","","categorize-html","237","422768","0.0-6.0-198.0","76351","20222321","rare"
"257.0000000000582","false","headache","76","76,90","A","","","","test","99","true","","categorize-html","239","424527","0.0-6.0-200.0","76351","20222321","common"
"484.0000000000582","false","rash,fever","90","76,90","B","C","","","test","100","true","","categorize-html","241","426515","0.0-6.0-202.0","76351","20222321","rare"
"851","false","fever","76","76,90","C","","","","test","101","true","","categorize-html","243","428869","0.0-6.0-204.0","76351","20222321","common"
"1762","false","rash","90","76,90","B","","","","test","102","true","","categorize-html","245","432136","0.0-6.0-206.0","76351","20222321","rare"
"1135.9999999999418","false","fever","76","76,90","C","","","","test","103","true","","categorize-html","247","434778","0.0-6.0-208.0","76351","20222321","common"
"624","false","rash","76","76,90","B","","","","test","104","true","","categorize-html","249","436905","0.0-6.0-210.0","76351","20222321","common"
"1580","false","rash,headache","90","76,90","B","A","","","test","105","true","","categorize-html","251","439990","0.0-6.0-212.0","76351","20222321","rare"
"644","false","fever,headache","76","76,90","C","A","","","test","106","true","","categorize-html","253","442139","0.0-6.0-214.0","76351","20222321","common"
"923","false","fever,rash","76","76,90","C","B","","","test","107","true","","categorize-html","255","444566","0.0-6.0-216.0","76351","20222321","common"
"835","false","headache,rash","76","76,90","A","B","","","test","108","true","","categorize-html","257","446905","0.0-6.0-218.0","76351","20222321","common"
"1155","false","rash,fever","90","76,90","B","C","","","test","109","true","","categorize-html","259","449564","0.0-6.0-220.0","76351","20222321","rare"
"707","false","headache,rash","76","76,90","A","B","","","test","110","true","","categorize-html","261","451776","0.0-6.0-222.0","76351","20222321","common"
"972","false","rash,headache","90","76,90","B","A","","","test","111","true","","categorize-html","263","454253","0.0-6.0-224.0","76351","20222321","rare"
"1076","false","rash","76","76,90","B","","","","test","112","true","","categorize-html","265","456834","0.0-6.0-226.0","76351","20222321","common"
"631.9999999999418","false","fever","76","76,90","C","","","","test","113","true","","categorize-html","267","458971","0.0-6.0-228.0","76351","20222321","common"
"542.9999999999418","false","rash","90","76,90","B","","","","test","114","true","","categorize-html","269","461019","0.0-6.0-230.0","76351","20222321","rare"
"756.9999999999418","false","headache,fever","76","76,90","A","C","","","test","115","true","","categorize-html","271","463281","0.0-6.0-232.0","76351","20222321","common"
"940.0000000000582","false","headache","76","76,90","A","","","","test","116","true","","categorize-html","273","465726","0.0-6.0-234.0","76351","20222321","common"
"727.9999999999418","false","fever,rash","76","76,90","C","B","","","test","117","true","","categorize-html","275","467959","0.0-6.0-236.0","76351","20222321","common"
"895.9999999999418","false","fever,headache","76","76,90","C","A","","","test","118","true","","categorize-html","277","470359","0.0-6.0-238.0","76351","20222321","common"
"896.9999999999418","false","headache","76","76,90","A","","","","test","119","true","","categorize-html","279","472760","0.0-6.0-240.0","76351","20222321","common"
"812","false","fever","76","76,90","C","","","","test","120","true","","categorize-html","281","475075","0.0-6.0-242.0","76351","20222321","common"
