"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"4911","false","headache,rash","32","76,90","A","B","76","common","training","1","true","1","categorize-html","4","37278","0.0-4.0-0.0","75418","20222214","none"
"3441.0000000000073","false","rash,headache","32","76,90","B","A","76","common","training","2","true","1","categorize-html","6","41725","0.0-4.0-2.0","75418","20222214","none"
"2014.9999999999927","false","rash,headache","32","76,90","B","A","76","common","training","3","true","1","categorize-html","8","44745","0.0-4.0-4.0","75418","20222214","none"
"2117.0000000000073","false","rash,headache","32","76,90","B","A","76","common","training","4","true","1","categorize-html","10","47867","0.0-4.0-6.0","75418","20222214","none"
"1766","false","fever,headache","32","76,90","C","A","90","rare","training","5","true","1","categorize-html","12","50638","0.0-4.0-8.0","75418","20222214","none"
"2516","false","headache,rash","32","76,90","A","B","76","common","training","6","true","1","categorize-html","14","54158","0.0-4.0-10.0","75418","20222214","none"
"2182","false","headache,rash","32","76,90","A","B","76","common","training","7","true","1","categorize-html","16","57346","0.0-4.0-12.0","75418","20222214","none"
"2684.0000000000073","false","headache,fever","32","76,90","A","C","90","rare","training","8","true","1","categorize-html","18","61035","0.0-4.0-14.0","75418","20222214","none"
"2032","false","headache,rash","32","76,90","A","B","76","common","training","9","true","2","categorize-html","21","68283","0.0-4.0-17.0","75418","20222214","none"
"705","false","headache,rash","32","76,90","A","B","76","common","training","10","true","2","categorize-html","23","69993","0.0-4.0-19.0","75418","20222214","none"
"1730","false","headache,fever","32","76,90","A","C","90","rare","training","11","true","2","categorize-html","25","72728","0.0-4.0-21.0","75418","20222214","none"
"1012","false","rash,headache","32","76,90","B","A","76","common","training","12","true","2","categorize-html","27","74745","0.0-4.0-23.0","75418","20222214","none"
"1230","false","rash,headache","32","76,90","B","A","76","common","training","13","true","2","categorize-html","29","76980","0.0-4.0-25.0","75418","20222214","none"
"1585","false","headache,rash","32","76,90","A","B","76","common","training","14","true","2","categorize-html","31","79570","0.0-4.0-27.0","75418","20222214","none"
"2063.9999999999854","false","fever,headache","32","76,90","C","A","90","rare","training","15","true","2","categorize-html","33","82640","0.0-4.0-29.0","75418","20222214","none"
"2298","false","rash,headache","32","76,90","B","A","76","common","training","16","true","2","categorize-html","35","85944","0.0-4.0-31.0","75418","20222214","none"
"5564","false","rash,headache","76","76,90","B","A","","","test","1","true","","categorize-html","39","112567","0.0-6.0-0.0","75418","20222214","common"
"5020.000000000015","false","fever,headache","90","76,90","C","A","","","test","2","true","","categorize-html","41","119092","0.0-6.0-2.0","75418","20222214","rare"
"3930","false","rash","76","76,90","B","","","","test","3","true","","categorize-html","43","124527","0.0-6.0-4.0","75418","20222214","common"
"4541","false","fever,rash","90","76,90","C","B","","","test","4","true","","categorize-html","45","130574","0.0-6.0-6.0","75418","20222214","rare"
"2096","false","headache","90","76,90","A","","","","test","5","true","","categorize-html","47","134176","0.0-6.0-8.0","75418","20222214","rare"
"3856","false","fever","90","76,90","C","","","","test","6","true","","categorize-html","49","139538","0.0-6.0-10.0","75418","20222214","rare"
"2685","false","rash","76","76,90","B","","","","test","7","true","","categorize-html","51","143729","0.0-6.0-12.0","75418","20222214","common"
"3594.000000000029","false","headache,fever","90","76,90","A","C","","","test","8","true","","categorize-html","53","148829","0.0-6.0-14.0","75418","20222214","rare"
"2308","false","headache,rash","76","76,90","A","B","","","test","9","true","","categorize-html","55","152641","0.0-6.0-16.0","75418","20222214","common"
"2472","false","headache","76","76,90","A","","","","test","10","true","","categorize-html","57","156618","0.0-6.0-18.0","75418","20222214","common"
"7828","false","rash,fever","90","76,90","B","C","","","test","11","true","","categorize-html","59","165952","0.0-6.0-20.0","75418","20222214","rare"
"1992","false","fever","90","76,90","C","","","","test","12","true","","categorize-html","61","169449","0.0-6.0-22.0","75418","20222214","rare"
"4725.000000000029","false","rash,headache","76","76,90","B","A","","","test","13","true","","categorize-html","63","175679","0.0-6.0-24.0","75418","20222214","common"
"3868","false","rash,fever","76","76,90","B","C","","","test","14","true","","categorize-html","65","181052","0.0-6.0-26.0","75418","20222214","common"
"3598.000000000029","false","fever","90","76,90","C","","","","test","15","true","","categorize-html","67","186155","0.0-6.0-28.0","75418","20222214","rare"
"1137","false","headache","90","76,90","A","","","","test","16","true","","categorize-html","69","188798","0.0-6.0-30.0","75418","20222214","rare"
"1771.999999999971","false","headache,rash","76","76,90","A","B","","","test","17","true","","categorize-html","71","192075","0.0-6.0-32.0","75418","20222214","common"
"1077","false","headache,fever","90","76,90","A","C","","","test","18","true","","categorize-html","73","194660","0.0-6.0-34.0","75418","20222214","rare"
"2844","false","fever,headache","90","76,90","C","A","","","test","19","true","","categorize-html","75","199010","0.0-6.0-36.0","75418","20222214","rare"
"950","false","fever,rash","76","76,90","C","B","","","test","20","true","","categorize-html","77","201466","0.0-6.0-38.0","75418","20222214","common"
"1208","false","headache","90","76,90","A","","","","test","21","true","","categorize-html","79","204180","0.0-6.0-40.0","75418","20222214","rare"
"925","false","rash","76","76,90","B","","","","test","22","true","","categorize-html","81","206611","0.0-6.0-42.0","75418","20222214","common"
"2475","false","fever","90","76,90","C","","","","test","23","true","","categorize-html","83","210592","0.0-6.0-44.0","75418","20222214","rare"
"815","false","rash","76","76,90","B","","","","test","24","true","","categorize-html","85","212912","0.0-6.0-46.0","75418","20222214","common"
"2609","false","headache","90","76,90","A","","","","test","25","true","","categorize-html","88","220173","0.0-6.0-49.0","75418","20222214","rare"
"769.9999999999709","false","rash","76","76,90","B","","","","test","26","true","","categorize-html","90","222448","0.0-6.0-51.0","75418","20222214","common"
"861","false","rash,headache","76","76,90","B","A","","","test","27","true","","categorize-html","92","224814","0.0-6.0-53.0","75418","20222214","common"
"899","false","rash,fever","90","76,90","B","C","","","test","28","true","","categorize-html","94","227219","0.0-6.0-55.0","75418","20222214","rare"
"1033","false","headache,fever","76","76,90","A","C","","","test","29","true","","categorize-html","96","229757","0.0-6.0-57.0","75418","20222214","common"
"1027","false","headache","90","76,90","A","","","","test","30","true","","categorize-html","98","232289","0.0-6.0-59.0","75418","20222214","rare"
"931.0000000000291","false","fever,headache","90","76,90","C","A","","","test","31","true","","categorize-html","100","234726","0.0-6.0-61.0","75418","20222214","rare"
"714","false","fever,rash","90","76,90","C","B","","","test","32","true","","categorize-html","102","236946","0.0-6.0-63.0","75418","20222214","rare"
"679","false","rash","76","76,90","B","","","","test","33","true","","categorize-html","104","239129","0.0-6.0-65.0","75418","20222214","common"
"577","false","headache,rash","90","76,90","A","B","","","test","34","true","","categorize-html","106","241212","0.0-6.0-67.0","75418","20222214","rare"
"1763","false","fever","90","76,90","C","","","","test","35","true","","categorize-html","108","244480","0.0-6.0-69.0","75418","20222214","rare"
"576","false","fever","90","76,90","C","","","","test","36","true","","categorize-html","110","246561","0.0-6.0-71.0","75418","20222214","rare"
"1215","false","headache,fever","90","76,90","A","C","","","test","37","true","","categorize-html","112","249282","0.0-6.0-73.0","75418","20222214","rare"
"1022","false","headache,rash","76","76,90","A","B","","","test","38","true","","categorize-html","114","251809","0.0-6.0-75.0","75418","20222214","common"
"601.9999999999709","false","rash,headache","76","76,90","B","A","","","test","39","true","","categorize-html","116","253916","0.0-6.0-77.0","75418","20222214","common"
"879.9999999999418","false","rash,fever","90","76,90","B","C","","","test","40","true","","categorize-html","118","256301","0.0-6.0-79.0","75418","20222214","rare"
"1306.0000000000582","false","fever","90","76,90","C","","","","test","41","true","","categorize-html","120","259112","0.0-6.0-81.0","75418","20222214","rare"
"816","false","rash","76","76,90","B","","","","test","42","true","","categorize-html","122","261433","0.0-6.0-83.0","75418","20222214","common"
"696","false","fever","90","76,90","C","","","","test","43","true","","categorize-html","124","263634","0.0-6.0-85.0","75418","20222214","rare"
