"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","rash,fever","null","90,76","A","B","90","common","training","1","true","1","categorize-html","4","93220","0.0-4.0-0.0","75448","202221315","none"
"3621","false","rash,headache","32","90,76","A","C","76","rare","training","2","true","1","categorize-html","6","97847","0.0-4.0-2.0","75448","202221315","none"
"3414.9999999999854","false","headache,rash","32","90,76","C","A","76","rare","training","3","true","1","categorize-html","8","102266","0.0-4.0-4.0","75448","202221315","none"
"3822","false","rash,fever","32","90,76","A","B","90","common","training","4","true","1","categorize-html","10","107094","0.0-4.0-6.0","75448","202221315","none"
"2729","false","fever,rash","32","90,76","B","A","90","common","training","5","true","1","categorize-html","12","110829","0.0-4.0-8.0","75448","202221315","none"
"3294.0000000000146","false","fever,rash","32","90,76","B","A","90","common","training","6","true","1","categorize-html","14","115128","0.0-4.0-10.0","75448","202221315","none"
"2862","false","fever,rash","32","90,76","B","A","90","common","training","7","true","1","categorize-html","16","118996","0.0-4.0-12.0","75448","202221315","none"
"3058","false","rash,fever","32","90,76","A","B","90","common","training","8","true","1","categorize-html","18","123058","0.0-4.0-14.0","75448","202221315","none"
"2706.999999999971","false","rash,fever","32","90,76","A","B","90","common","training","9","true","2","categorize-html","21","157886","0.0-4.0-17.0","75448","202221315","none"
"2989","false","rash,headache","32","90,76","A","C","76","rare","training","10","true","2","categorize-html","23","161881","0.0-4.0-19.0","75448","202221315","none"
"1851","false","headache,rash","32","90,76","C","A","76","rare","training","11","true","2","categorize-html","25","164736","0.0-4.0-21.0","75448","202221315","none"
"1751","false","rash,fever","32","90,76","A","B","90","common","training","12","true","2","categorize-html","27","167493","0.0-4.0-23.0","75448","202221315","none"
"639","false","fever,rash","32","90,76","B","A","90","common","training","13","true","2","categorize-html","29","169137","0.0-4.0-25.0","75448","202221315","none"
"633","false","fever,rash","32","90,76","B","A","90","common","training","14","true","2","categorize-html","31","170775","0.0-4.0-27.0","75448","202221315","none"
"1672.000000000029","false","rash,fever","32","90,76","A","B","90","common","training","15","true","2","categorize-html","33","173453","0.0-4.0-29.0","75448","202221315","none"
"1752.999999999971","false","fever,rash","32","90,76","B","A","90","common","training","16","true","2","categorize-html","35","176211","0.0-4.0-31.0","75448","202221315","none"
"5333","false","fever","90","90,76","B","","","","test","1","true","","categorize-html","39","211144","0.0-6.0-0.0","75448","202221315","common"
"3763","false","headache,fever","76","90,76","C","B","","","test","2","true","","categorize-html","41","216413","0.0-6.0-2.0","75448","202221315","rare"
"5396","false","rash,fever","90","90,76","A","B","","","test","3","true","","categorize-html","43","223315","0.0-6.0-4.0","75448","202221315","common"
"null","false","rash","null","90,76","A","","","","test","4","true","","categorize-html","45","234822","0.0-6.0-6.0","75448","202221315","none"
"1090","false","rash","90","90,76","A","","","","test","5","true","","categorize-html","47","237418","0.0-6.0-8.0","75448","202221315","common"
"2689","false","headache","76","90,76","C","","","","test","6","true","","categorize-html","49","241613","0.0-6.0-10.0","75448","202221315","rare"
"3104","false","fever,headache","76","90,76","B","C","","","test","7","true","","categorize-html","51","246222","0.0-6.0-12.0","75448","202221315","rare"
"8074","false","rash,headache","76","90,76","A","C","","","test","8","true","","categorize-html","53","255802","0.0-6.0-14.0","75448","202221315","rare"
"3935","false","fever,rash","90","90,76","B","A","","","test","9","true","","categorize-html","55","261243","0.0-6.0-16.0","75448","202221315","common"
"3200","false","headache","76","90,76","C","","","","test","10","true","","categorize-html","57","265948","0.0-6.0-18.0","75448","202221315","rare"
"6288","false","headache,rash","76","90,76","C","A","","","test","11","true","","categorize-html","59","273742","0.0-6.0-20.0","75448","202221315","rare"
"3405","false","fever","90","90,76","B","","","","test","12","true","","categorize-html","61","278653","0.0-6.0-22.0","75448","202221315","common"
"3805","false","rash","76","90,76","A","","","","test","13","true","","categorize-html","63","283963","0.0-6.0-24.0","75448","202221315","rare"
"3116","false","fever","90","90,76","B","","","","test","14","true","","categorize-html","65","288585","0.0-6.0-26.0","75448","202221315","common"
"1168","false","headache","76","90,76","C","","","","test","15","true","","categorize-html","67","291258","0.0-6.0-28.0","75448","202221315","rare"
"2646","false","rash","90","90,76","A","","","","test","16","true","","categorize-html","69","295409","0.0-6.0-30.0","75448","202221315","common"
"3141.999999999942","false","rash,headache","76","90,76","A","C","","","test","17","true","","categorize-html","71","300056","0.0-6.0-32.0","75448","202221315","rare"
"2636","false","fever,rash","90","90,76","B","A","","","test","18","true","","categorize-html","73","304200","0.0-6.0-34.0","75448","202221315","common"
"2388","false","headache,rash","76","90,76","C","A","","","test","19","true","","categorize-html","75","308095","0.0-6.0-36.0","75448","202221315","rare"
"3575","false","headache,fever","76","90,76","C","B","","","test","20","true","","categorize-html","77","313176","0.0-6.0-38.0","75448","202221315","rare"
"3178","false","fever,headache","76","90,76","B","C","","","test","21","true","","categorize-html","79","317858","0.0-6.0-40.0","75448","202221315","rare"
"3174","false","fever","90","90,76","B","","","","test","22","true","","categorize-html","81","322539","0.0-6.0-42.0","75448","202221315","common"
"2301","false","rash,fever","90","90,76","A","B","","","test","23","true","","categorize-html","83","326346","0.0-6.0-44.0","75448","202221315","common"
"1558.0000000000582","false","headache","76","90,76","C","","","","test","24","true","","categorize-html","85","329409","0.0-6.0-46.0","75448","202221315","rare"
"2094","false","fever","76","90,76","B","","","","test","25","true","","categorize-html","88","338174","0.0-6.0-49.0","75448","202221315","rare"
"2151","false","headache","76","90,76","C","","","","test","26","true","","categorize-html","90","341830","0.0-6.0-51.0","75448","202221315","rare"
"3218","false","headache,fever","76","90,76","C","B","","","test","27","true","","categorize-html","92","346554","0.0-6.0-53.0","75448","202221315","rare"
"2053","false","fever","90","90,76","B","","","","test","28","true","","categorize-html","94","350113","0.0-6.0-55.0","75448","202221315","common"
"2284","false","headache","76","90,76","C","","","","test","29","true","","categorize-html","96","353903","0.0-6.0-57.0","75448","202221315","rare"
"1593","false","rash","90","90,76","A","","","","test","30","true","","categorize-html","98","357001","0.0-6.0-59.0","75448","202221315","common"
"5508","false","headache,rash","76","90,76","C","A","","","test","31","true","","categorize-html","100","364015","0.0-6.0-61.0","75448","202221315","rare"
