"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","rash,fever","null","76,90","B","A","76","common","training","1","true","1","categorize-html","4","52092","0.0-4.0-0.0","73435","20222214","none"
"3655","false","fever,headache","32","76,90","A","C","90","rare","training","2","true","1","categorize-html","6","56748","0.0-4.0-2.0","73435","20222214","none"
"2578","false","headache,fever","32","76,90","C","A","90","rare","training","3","true","1","categorize-html","8","60328","0.0-4.0-4.0","73435","20222214","none"
"3684","false","fever,rash","32","76,90","A","B","76","common","training","4","true","1","categorize-html","10","65015","0.0-4.0-6.0","73435","20222214","none"
"3319","false","fever,rash","32","76,90","A","B","76","common","training","5","true","1","categorize-html","12","69338","0.0-4.0-8.0","73435","20222214","none"
"2512","false","fever,rash","32","76,90","A","B","76","common","training","6","true","1","categorize-html","14","72853","0.0-4.0-10.0","73435","20222214","none"
"2660","false","rash,fever","32","76,90","B","A","76","common","training","7","true","1","categorize-html","16","76517","0.0-4.0-12.0","73435","20222214","none"
"1789","true","rash,fever","76","76,90","B","A","76","common","training","8","true","1","categorize-html","18","79312","0.0-4.0-14.0","73435","20222214","common"
"2634.9999999999854","true","fever,headache","90","76,90","A","C","90","rare","training","9","true","2","categorize-html","21","90080","0.0-4.0-17.0","73435","20222214","rare"
"907","true","rash,fever","76","76,90","B","A","76","common","training","10","true","2","categorize-html","23","91991","0.0-4.0-19.0","73435","20222214","common"
"2003","true","fever,rash","76","76,90","A","B","76","common","training","11","true","2","categorize-html","25","94995","0.0-4.0-21.0","73435","20222214","common"
"735","true","fever,rash","76","76,90","A","B","76","common","training","12","true","2","categorize-html","27","96732","0.0-4.0-23.0","73435","20222214","common"
"1381.9999999999854","true","rash,fever","76","76,90","B","A","76","common","training","13","true","2","categorize-html","29","99117","0.0-4.0-25.0","73435","20222214","common"
"1506","false","fever,rash","32","76,90","A","B","76","common","training","14","true","2","categorize-html","31","101626","0.0-4.0-27.0","73435","20222214","none"
"1258","false","rash,fever","32","76,90","B","A","76","common","training","15","true","2","categorize-html","33","103888","0.0-4.0-29.0","73435","20222214","none"
"1339","false","headache,fever","32","76,90","C","A","90","rare","training","16","true","2","categorize-html","35","106229","0.0-4.0-31.0","73435","20222214","none"
"1528.0000000000146","false","rash,fever","32","76,90","B","A","76","common","training","17","true","3","categorize-html","38","121336","0.0-4.0-34.0","73435","20222214","none"
"499","false","fever,rash","32","76,90","A","B","76","common","training","18","true","3","categorize-html","40","122837","0.0-4.0-36.0","73435","20222214","none"
"320.99999999998545","false","fever,rash","32","76,90","A","B","76","common","training","19","true","3","categorize-html","42","124160","0.0-4.0-38.0","73435","20222214","none"
"611","false","fever,rash","32","76,90","A","B","76","common","training","20","true","3","categorize-html","44","125775","0.0-4.0-40.0","73435","20222214","none"
"494","false","headache,fever","32","76,90","C","A","90","rare","training","21","true","3","categorize-html","46","127272","0.0-4.0-42.0","73435","20222214","none"
"1472.0000000000146","false","rash,fever","32","76,90","B","A","76","common","training","22","true","3","categorize-html","48","129747","0.0-4.0-44.0","73435","20222214","none"
"984","false","rash,fever","32","76,90","B","A","76","common","training","23","true","3","categorize-html","50","131734","0.0-4.0-46.0","73435","20222214","none"
"1214","false","fever,headache","32","76,90","A","C","90","rare","training","24","true","3","categorize-html","52","133952","0.0-4.0-48.0","73435","20222214","none"
"1555","false","headache","90","76,90","C","","","","test","1","true","","categorize-html","56","162527","0.0-6.0-0.0","73435","20222214","rare"
"2115","false","headache,fever","90","76,90","C","A","","","test","2","true","","categorize-html","58","166146","0.0-6.0-2.0","73435","20222214","rare"
"1232","false","fever,rash","76","76,90","A","B","","","test","3","true","","categorize-html","60","168881","0.0-6.0-4.0","73435","20222214","common"
"1234","false","rash,headache","76","76,90","B","C","","","test","4","true","","categorize-html","62","171617","0.0-6.0-6.0","73435","20222214","common"
"1171.000000000029","false","fever","76","76,90","A","","","","test","5","true","","categorize-html","64","174292","0.0-6.0-8.0","73435","20222214","common"
"857","false","rash","76","76,90","B","","","","test","6","true","","categorize-html","66","176652","0.0-6.0-10.0","73435","20222214","common"
"2002.999999999971","false","fever,headache","90","76,90","A","C","","","test","7","true","","categorize-html","68","180158","0.0-6.0-12.0","73435","20222214","rare"
"695","false","rash,fever","76","76,90","B","A","","","test","8","true","","categorize-html","70","182358","0.0-6.0-14.0","73435","20222214","common"
"796","false","headache","90","76,90","C","","","","test","9","true","","categorize-html","72","184657","0.0-6.0-16.0","73435","20222214","rare"
"781.9999999999709","false","fever","76","76,90","A","","","","test","10","true","","categorize-html","74","186943","0.0-6.0-18.0","73435","20222214","common"
"656.0000000000291","false","rash","76","76,90","B","","","","test","11","true","","categorize-html","76","189101","0.0-6.0-20.0","73435","20222214","common"
"null","false","headache,rash","null","76,90","C","B","","","test","12","true","","categorize-html","78","200604","0.0-6.0-22.0","73435","20222214","none"
"751.0000000000291","false","rash","76","76,90","B","","","","test","13","true","","categorize-html","80","202859","0.0-6.0-24.0","73435","20222214","common"
"782","false","headache","90","76,90","C","","","","test","14","true","","categorize-html","82","205144","0.0-6.0-26.0","73435","20222214","rare"
"1192","false","fever,rash","76","76,90","A","B","","","test","15","true","","categorize-html","84","207838","0.0-6.0-28.0","73435","20222214","common"
"681","false","rash","76","76,90","B","","","","test","16","true","","categorize-html","86","210023","0.0-6.0-30.0","73435","20222214","common"
"2738","false","fever,headache","76","76,90","A","C","","","test","17","true","","categorize-html","88","214265","0.0-6.0-32.0","73435","20222214","common"
"775.9999999999709","false","fever","76","76,90","A","","","","test","18","true","","categorize-html","90","216545","0.0-6.0-34.0","73435","20222214","common"
"674.9999999999709","false","fever","76","76,90","A","","","","test","19","true","","categorize-html","92","218724","0.0-6.0-36.0","73435","20222214","common"
"1057","false","rash,headache","90","76,90","B","C","","","test","20","true","","categorize-html","94","221284","0.0-6.0-38.0","73435","20222214","rare"
"1820","false","headache,rash","90","76,90","C","B","","","test","21","true","","categorize-html","96","224609","0.0-6.0-40.0","73435","20222214","rare"
"1492","false","rash,fever","76","76,90","B","A","","","test","22","true","","categorize-html","98","227604","0.0-6.0-42.0","73435","20222214","common"
"1646","false","headache,fever","76","76,90","C","A","","","test","23","true","","categorize-html","100","230753","0.0-6.0-44.0","73435","20222214","common"
"724","false","headache","90","76,90","C","","","","test","24","true","","categorize-html","102","232980","0.0-6.0-46.0","73435","20222214","rare"
"1277","false","fever","76","76,90","A","","","","test","25","true","","categorize-html","105","237867","0.0-6.0-49.0","73435","20222214","common"
"988","false","fever,rash","76","76,90","A","B","","","test","26","true","","categorize-html","107","240358","0.0-6.0-51.0","73435","20222214","common"
"756","false","fever,headache","76","76,90","A","C","","","test","27","true","","categorize-html","109","242618","0.0-6.0-53.0","73435","20222214","common"
"601.9999999999709","false","headache","90","76,90","C","","","","test","28","true","","categorize-html","111","244724","0.0-6.0-55.0","73435","20222214","rare"
"1359","false","headache,fever","90","76,90","C","A","","","test","29","true","","categorize-html","113","247587","0.0-6.0-57.0","73435","20222214","rare"
"740","false","headache","90","76,90","C","","","","test","30","true","","categorize-html","115","249831","0.0-6.0-59.0","73435","20222214","rare"
"826","false","rash","76","76,90","B","","","","test","31","true","","categorize-html","117","252160","0.0-6.0-61.0","73435","20222214","common"
"1043","false","headache,rash","90","76,90","C","B","","","test","32","true","","categorize-html","119","254707","0.0-6.0-63.0","73435","20222214","rare"
"1153.000000000029","false","rash,fever","76","76,90","B","A","","","test","33","true","","categorize-html","121","257362","0.0-6.0-65.0","73435","20222214","common"
"1865.999999999971","false","rash,headache","76","76,90","B","C","","","test","34","true","","categorize-html","123","260733","0.0-6.0-67.0","73435","20222214","common"
"2607","false","fever","76","76,90","A","","","","test","35","true","","categorize-html","125","264843","0.0-6.0-69.0","73435","20222214","common"
"1147","false","rash","76","76,90","B","","","","test","36","true","","categorize-html","127","267493","0.0-6.0-71.0","73435","20222214","common"
"1644","false","rash,headache","76","76,90","B","C","","","test","37","true","","categorize-html","129","270641","0.0-6.0-73.0","73435","20222214","common"
"659.9999999999418","false","headache","90","76,90","C","","","","test","38","true","","categorize-html","131","272804","0.0-6.0-75.0","73435","20222214","rare"
"1631","false","rash","76","76,90","B","","","","test","39","true","","categorize-html","133","275938","0.0-6.0-77.0","73435","20222214","common"
"1540","false","fever,rash","76","76,90","A","B","","","test","40","true","","categorize-html","135","278982","0.0-6.0-79.0","73435","20222214","common"
"633","false","rash","76","76,90","B","","","","test","41","true","","categorize-html","137","281119","0.0-6.0-81.0","73435","20222214","common"
"529","false","fever","76","76,90","A","","","","test","42","true","","categorize-html","139","283151","0.0-6.0-83.0","73435","20222214","common"
"1260","false","headache,fever","90","76,90","C","A","","","test","43","true","","categorize-html","141","285916","0.0-6.0-85.0","73435","20222214","rare"
"1017","false","headache,rash","76","76,90","C","B","","","test","44","true","","categorize-html","143","288437","0.0-6.0-87.0","73435","20222214","common"
"643","false","fever","76","76,90","A","","","","test","45","true","","categorize-html","145","290584","0.0-6.0-89.0","73435","20222214","common"
"1272","false","rash,fever","76","76,90","B","A","","","test","46","true","","categorize-html","147","293358","0.0-6.0-91.0","73435","20222214","common"
