"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","headache,fever","null","76,90","A","B","76","common","training","1","true","1","categorize-html","4","83546","0.0-4.0-0.0","75472","20222214","none"
"2332","false","fever,headache","32","76,90","B","A","76","common","training","2","true","1","categorize-html","6","86906","0.0-4.0-2.0","75472","20222214","none"
"4834","false","fever,headache","32","76,90","B","A","76","common","training","3","true","1","categorize-html","8","92776","0.0-4.0-4.0","75472","20222214","none"
"3175","false","rash,headache","32","76,90","C","A","90","rare","training","4","true","1","categorize-html","10","96986","0.0-4.0-6.0","75472","20222214","none"
"2447","false","headache,fever","32","76,90","A","B","76","common","training","5","true","1","categorize-html","12","100465","0.0-4.0-8.0","75472","20222214","none"
"1844","false","fever,headache","32","76,90","B","A","76","common","training","6","true","1","categorize-html","14","103335","0.0-4.0-10.0","75472","20222214","none"
"1732","false","headache,fever","32","76,90","A","B","76","common","training","7","true","1","categorize-html","16","106105","0.0-4.0-12.0","75472","20222214","none"
"2791","false","headache,rash","32","76,90","A","C","90","rare","training","8","true","1","categorize-html","18","109925","0.0-4.0-14.0","75472","20222214","none"
"1453","false","fever,headache","32","76,90","B","A","76","common","training","9","true","2","categorize-html","21","115644","0.0-4.0-17.0","75472","20222214","none"
"2029","false","headache,rash","32","76,90","A","C","90","rare","training","10","true","2","categorize-html","23","118705","0.0-4.0-19.0","75472","20222214","none"
"2183","false","headache,fever","32","76,90","A","B","76","common","training","11","true","2","categorize-html","25","121915","0.0-4.0-21.0","75472","20222214","none"
"2151","false","headache,fever","32","76,90","A","B","76","common","training","12","true","2","categorize-html","27","125104","0.0-4.0-23.0","75472","20222214","none"
"2213","false","rash,headache","32","76,90","C","A","90","rare","training","13","true","2","categorize-html","29","128354","0.0-4.0-25.0","75472","20222214","none"
"2514","false","fever,headache","32","76,90","B","A","76","common","training","14","true","2","categorize-html","31","131874","0.0-4.0-27.0","75472","20222214","none"
"1941","false","headache,fever","32","76,90","A","B","76","common","training","15","true","2","categorize-html","33","134855","0.0-4.0-29.0","75472","20222214","none"
"2372","false","fever,headache","32","76,90","B","A","76","common","training","16","true","2","categorize-html","35","138265","0.0-4.0-31.0","75472","20222214","none"
"2456","false","rash,headache","32","76,90","C","A","90","rare","training","17","true","3","categorize-html","38","148675","0.0-4.0-34.0","75472","20222214","none"
"2213","false","headache,fever","32","76,90","A","B","76","common","training","18","true","3","categorize-html","40","151914","0.0-4.0-36.0","75472","20222214","none"
"3759","false","headache,fever","32","76,90","A","B","76","common","training","19","true","3","categorize-html","42","156715","0.0-4.0-38.0","75472","20222214","none"
"3389","false","fever,headache","32","76,90","B","A","76","common","training","20","true","3","categorize-html","44","161125","0.0-4.0-40.0","75472","20222214","none"
"1429","false","headache,fever","32","76,90","A","B","76","common","training","21","true","3","categorize-html","46","163585","0.0-4.0-42.0","75472","20222214","none"
"3140","false","fever,headache","32","76,90","B","A","76","common","training","22","true","3","categorize-html","48","167755","0.0-4.0-44.0","75472","20222214","none"
"1080","false","headache,rash","32","76,90","A","C","90","rare","training","23","true","3","categorize-html","50","169874","0.0-4.0-46.0","75472","20222214","none"
"2712","false","fever,headache","32","76,90","B","A","76","common","training","24","true","3","categorize-html","52","173625","0.0-4.0-48.0","75472","20222214","none"
"4769","false","fever","76","76,90","B","","","","test","1","true","","categorize-html","56","202806","0.0-6.0-0.0","75472","20222214","common"
"3947","false","fever,headache","76","76,90","B","A","","","test","2","true","","categorize-html","58","208275","0.0-6.0-2.0","75472","20222214","common"
"1881","false","rash","90","76,90","C","","","","test","3","true","","categorize-html","60","211685","0.0-6.0-4.0","75472","20222214","rare"
"null","false","rash,fever","null","76,90","C","B","","","test","4","true","","categorize-html","62","223226","0.0-6.0-6.0","75472","20222214","none"
"4047","false","headache,fever","90","76,90","A","B","","","test","5","true","","categorize-html","64","228795","0.0-6.0-8.0","75472","20222214","rare"
"9387","false","headache","76","76,90","A","","","","test","6","true","","categorize-html","66","239715","0.0-6.0-10.0","75472","20222214","common"
