"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"4960","false","rash,fever","32","90,76","A","B","90","common","training","1","true","1","categorize-html","4","71606","0.0-4.0-0.0","75421","20222214","none"
"2434.0000000000146","false","rash,fever","32","90,76","A","B","90","common","training","2","true","1","categorize-html","6","75044","0.0-4.0-2.0","75421","20222214","none"
"2398.0000000000146","false","fever,rash","32","90,76","B","A","90","common","training","3","true","1","categorize-html","8","78446","0.0-4.0-4.0","75421","20222214","none"
"2030","false","fever,rash","32","90,76","B","A","90","common","training","4","true","1","categorize-html","10","81479","0.0-4.0-6.0","75421","20222214","none"
"1153","false","fever,rash","32","90,76","B","A","90","common","training","5","true","1","categorize-html","12","83636","0.0-4.0-8.0","75421","20222214","none"
"4924","false","headache,rash","32","90,76","C","A","76","rare","training","6","true","1","categorize-html","14","89564","0.0-4.0-10.0","75421","20222214","none"
"1664","false","rash,headache","32","90,76","A","C","76","rare","training","7","true","1","categorize-html","16","92231","0.0-4.0-12.0","75421","20222214","none"
"null","false","rash,fever","null","90,76","A","B","90","common","training","8","true","1","categorize-html","18","98236","0.0-4.0-14.0","75421","20222214","none"
"2774","false","fever,rash","32","90,76","B","A","90","common","training","9","true","2","categorize-html","21","106106","0.0-4.0-17.0","75421","20222214","none"
"1114","false","rash,headache","32","90,76","A","C","76","rare","training","10","true","2","categorize-html","23","108224","0.0-4.0-19.0","75421","20222214","none"
"1423","false","rash,fever","32","90,76","A","B","90","common","training","11","true","2","categorize-html","25","110651","0.0-4.0-21.0","75421","20222214","none"
"1070","false","rash,fever","32","90,76","A","B","90","common","training","12","true","2","categorize-html","27","112725","0.0-4.0-23.0","75421","20222214","none"
"793","false","rash,fever","32","90,76","A","B","90","common","training","13","true","2","categorize-html","29","114521","0.0-4.0-25.0","75421","20222214","none"
"1145","false","fever,rash","32","90,76","B","A","90","common","training","14","true","2","categorize-html","31","116670","0.0-4.0-27.0","75421","20222214","none"
"658","false","fever,rash","32","90,76","B","A","90","common","training","15","true","2","categorize-html","33","118331","0.0-4.0-29.0","75421","20222214","none"
"3200","false","headache,rash","32","90,76","C","A","76","rare","training","16","true","2","categorize-html","35","122535","0.0-4.0-31.0","75421","20222214","none"
"2324.000000000029","false","fever,rash","32","90,76","B","A","90","common","training","17","true","3","categorize-html","38","147491","0.0-4.0-34.0","75421","20222214","none"
"2331","false","headache,rash","32","90,76","C","A","76","rare","training","18","true","3","categorize-html","40","150825","0.0-4.0-36.0","75421","20222214","none"
"1436.000000000029","false","rash,fever","32","90,76","A","B","90","common","training","19","true","3","categorize-html","42","153266","0.0-4.0-38.0","75421","20222214","none"
"830","false","fever,rash","32","90,76","B","A","90","common","training","20","true","3","categorize-html","44","155099","0.0-4.0-40.0","75421","20222214","none"
"764.0000000000291","false","fever,rash","32","90,76","B","A","90","common","training","21","true","3","categorize-html","46","156866","0.0-4.0-42.0","75421","20222214","none"
"814","false","rash,headache","32","90,76","A","C","76","rare","training","22","true","3","categorize-html","48","158685","0.0-4.0-44.0","75421","20222214","none"
"913","false","rash,fever","32","90,76","A","B","90","common","training","23","true","3","categorize-html","50","160602","0.0-4.0-46.0","75421","20222214","none"
"770","false","rash,fever","32","90,76","A","B","90","common","training","24","true","3","categorize-html","52","162375","0.0-4.0-48.0","75421","20222214","none"
"2819","false","fever","90","90,76","B","","","","test","1","true","","categorize-html","56","178547","0.0-6.0-0.0","75421","20222214","common"
"4783.999999999971","false","rash","90","90,76","A","","","","test","2","true","","categorize-html","58","184836","0.0-6.0-2.0","75421","20222214","common"
"1011","false","headache,rash","76","90,76","C","A","","","test","3","true","","categorize-html","60","187350","0.0-6.0-4.0","75421","20222214","rare"
"1231","false","headache","76","90,76","C","","","","test","4","true","","categorize-html","62","190084","0.0-6.0-6.0","75421","20222214","rare"
"3878","false","fever","90","90,76","B","","","","test","5","true","","categorize-html","64","195466","0.0-6.0-8.0","75421","20222214","common"
"3330","false","rash,fever","90","90,76","A","B","","","test","6","true","","categorize-html","66","200301","0.0-6.0-10.0","75421","20222214","common"
"2242","false","rash","90","90,76","A","","","","test","7","true","","categorize-html","68","204047","0.0-6.0-12.0","75421","20222214","common"
"1407.999999999971","false","fever,rash","90","90,76","B","A","","","test","8","true","","categorize-html","70","206959","0.0-6.0-14.0","75421","20222214","common"
"729","false","headache,fever","76","90,76","C","B","","","test","9","true","","categorize-html","72","209192","0.0-6.0-16.0","75421","20222214","rare"
