"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","headache,fever","null","76,90","C","A","90","rare","training","1","true","1","categorize-html","4","67362","0.0-4.0-0.0","75658","20222215","none"
"2466","false","fever,rash","32","76,90","A","B","76","common","training","2","true","1","categorize-html","6","70834","0.0-4.0-2.0","75658","20222215","none"
"2035","false","fever,rash","32","76,90","A","B","76","common","training","3","true","1","categorize-html","8","73874","0.0-4.0-4.0","75658","20222215","none"
"1601","false","rash,fever","32","76,90","B","A","76","common","training","4","true","1","categorize-html","10","76481","0.0-4.0-6.0","75658","20222215","none"
"1564","false","fever,headache","32","76,90","A","C","90","rare","training","5","true","1","categorize-html","12","79049","0.0-4.0-8.0","75658","20222215","none"
"1085","false","rash,fever","32","76,90","B","A","76","common","training","6","true","1","categorize-html","14","81138","0.0-4.0-10.0","75658","20222215","none"
"694","false","rash,fever","32","76,90","B","A","76","common","training","7","true","1","categorize-html","16","82836","0.0-4.0-12.0","75658","20222215","none"
"1004","false","fever,rash","32","76,90","A","B","76","common","training","8","true","1","categorize-html","18","84846","0.0-4.0-14.0","75658","20222215","none"
"2116","false","rash,fever","32","76,90","B","A","76","common","training","9","true","2","categorize-html","21","92027","0.0-4.0-17.0","75658","20222215","none"
"1105","false","fever,headache","32","76,90","A","C","90","rare","training","10","true","2","categorize-html","23","94137","0.0-4.0-19.0","75658","20222215","none"
"891","false","fever,rash","32","76,90","A","B","76","common","training","11","true","2","categorize-html","25","96032","0.0-4.0-21.0","75658","20222215","none"
"1816","false","rash,fever","32","76,90","B","A","76","common","training","12","true","2","categorize-html","27","98853","0.0-4.0-23.0","75658","20222215","none"
"1560.0000000000146","false","fever,rash","32","76,90","A","B","76","common","training","13","true","2","categorize-html","29","101418","0.0-4.0-25.0","75658","20222215","none"
"1187","false","fever,rash","32","76,90","A","B","76","common","training","14","true","2","categorize-html","31","103609","0.0-4.0-27.0","75658","20222215","none"
"1840","false","headache,fever","32","76,90","C","A","90","rare","training","15","true","2","categorize-html","33","106453","0.0-4.0-29.0","75658","20222215","none"
"1520","false","rash,fever","32","76,90","B","A","76","common","training","16","true","2","categorize-html","35","108978","0.0-4.0-31.0","75658","20222215","none"
"3604.9999999999854","false","fever","90","76,90","A","","","","test","1","true","","categorize-html","39","131137","0.0-6.0-0.0","75658","20222215","rare"
"2519","false","headache,fever","90","76,90","C","A","","","test","2","true","","categorize-html","41","135162","0.0-6.0-2.0","75658","20222215","rare"
"906","false","rash,fever","76","76,90","B","A","","","test","3","true","","categorize-html","43","137574","0.0-6.0-4.0","75658","20222215","common"
"1274","false","rash","76","76,90","B","","","","test","4","true","","categorize-html","45","140352","0.0-6.0-6.0","75658","20222215","common"
"771","false","headache","90","76,90","C","","","","test","5","true","","categorize-html","47","142628","0.0-6.0-8.0","75658","20222215","rare"
"714.9999999999709","false","headache","90","76,90","C","","","","test","6","true","","categorize-html","49","144849","0.0-6.0-10.0","75658","20222215","rare"
"918","false","fever","76","76,90","A","","","","test","7","true","","categorize-html","51","147272","0.0-6.0-12.0","75658","20222215","common"
"3202","false","rash,headache","90","76,90","B","C","","","test","8","true","","categorize-html","53","151979","0.0-6.0-14.0","75658","20222215","rare"
"1236","false","rash","76","76,90","B","","","","test","9","true","","categorize-html","55","154720","0.0-6.0-16.0","75658","20222215","common"
"1898","false","headache,rash","76","76,90","C","B","","","test","10","true","","categorize-html","57","158124","0.0-6.0-18.0","75658","20222215","common"
"5657","false","fever,rash","76","76,90","A","B","","","test","11","true","","categorize-html","59","165286","0.0-6.0-20.0","75658","20222215","common"
