"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","rash,fever","null","76,90","A","C","90","rare","training","1","true","1","categorize-html","4","147595","0.0-4.0-0.0","72643","20222217","none"
"null","false","headache,rash","null","76,90","B","A","76","common","training","2","true","1","categorize-html","6","153627","0.0-4.0-2.0","72643","20222217","none"
"null","false","rash,headache","null","76,90","A","B","76","common","training","3","true","1","categorize-html","8","159666","0.0-4.0-4.0","72643","20222217","none"
"2871.600000023842","true","headache,rash","76","76,90","B","A","76","common","training","4","true","1","categorize-html","10","163551","0.0-4.0-6.0","72643","20222217","common"
"2125.7999999523163","true","headache,rash","76","76,90","B","A","76","common","training","5","true","1","categorize-html","12","166684","0.0-4.0-8.0","72643","20222217","common"
"2603.899999976158","true","rash,headache","76","76,90","A","B","76","common","training","6","true","1","categorize-html","14","170303","0.0-4.0-10.0","72643","20222217","common"
"2799.5","true","rash,headache","76","76,90","A","B","76","common","training","7","true","1","categorize-html","16","174120","0.0-4.0-12.0","72643","20222217","common"
"3108.100000023842","true","fever,rash","90","76,90","C","A","90","rare","training","8","true","1","categorize-html","18","178253","0.0-4.0-14.0","72643","20222217","rare"
"1506.3999999761581","true","headache,rash","76","76,90","B","A","76","common","training","9","true","2","categorize-html","21","194583","0.0-4.0-17.0","72643","20222217","common"
"1415.2999999523163","true","rash,headache","76","76,90","A","B","76","common","training","10","true","2","categorize-html","23","197021","0.0-4.0-19.0","72643","20222217","common"
"2162.5","true","rash,fever","90","76,90","A","C","90","rare","training","11","true","2","categorize-html","25","200199","0.0-4.0-21.0","72643","20222217","rare"
"3572.2999999523163","true","headache,rash","76","76,90","B","A","76","common","training","12","true","2","categorize-html","27","204789","0.0-4.0-23.0","72643","20222217","common"
"2836.899999976158","true","rash,headache","76","76,90","A","B","76","common","training","13","true","2","categorize-html","29","208633","0.0-4.0-25.0","72643","20222217","common"
"2916.899999976158","true","fever,rash","90","76,90","C","A","90","rare","training","14","true","2","categorize-html","31","212574","0.0-4.0-27.0","72643","20222217","rare"
"2705.600000023842","true","rash,headache","76","76,90","A","B","76","common","training","15","true","2","categorize-html","33","216298","0.0-4.0-29.0","72643","20222217","common"
"null","false","headache,rash","null","76,90","B","A","76","common","training","16","true","2","categorize-html","35","222311","0.0-4.0-31.0","72643","20222217","none"
"1836.6000000238419","false","fever,rash","32","76,90","C","A","90","rare","training","17","true","3","categorize-html","38","242611","0.0-4.0-34.0","72643","20222217","none"
"2627.100000023842","false","headache,rash","32","76,90","B","A","76","common","training","18","true","3","categorize-html","40","246265","0.0-4.0-36.0","72643","20222217","none"
"2873.899999976158","false","rash,headache","32","76,90","A","B","76","common","training","19","true","3","categorize-html","42","250163","0.0-4.0-38.0","72643","20222217","none"
"3619.399999976158","false","headache,rash","32","76,90","B","A","76","common","training","20","true","3","categorize-html","44","254797","0.0-4.0-40.0","72643","20222217","none"
"4087.399999976158","false","rash,fever","32","76,90","A","C","90","rare","training","21","true","3","categorize-html","46","259899","0.0-4.0-42.0","72643","20222217","none"
"2784.600000023842","false","rash,headache","32","76,90","A","B","76","common","training","22","true","3","categorize-html","48","263690","0.0-4.0-44.0","72643","20222217","none"
"2239","false","headache,rash","32","76,90","B","A","76","common","training","23","true","3","categorize-html","50","266953","0.0-4.0-46.0","72643","20222217","none"
"3058.600000023842","false","rash,headache","32","76,90","A","B","76","common","training","24","true","3","categorize-html","52","271028","0.0-4.0-48.0","72643","20222217","none"
"2070.399999976158","false","fever","90","76,90","C","","","","test","1","true","","categorize-html","56","305513","0.0-6.0-0.0","72643","20222217","rare"
"1702.5","false","rash,headache","76","76,90","A","B","","","test","2","true","","categorize-html","58","308728","0.0-6.0-2.0","72643","20222217","common"
"1503.2000000476837","false","fever","90","76,90","C","","","","test","3","true","","categorize-html","60","311749","0.0-6.0-4.0","72643","20222217","rare"
"1340.9000000953674","false","rash","76","76,90","A","","","","test","4","true","","categorize-html","62","314614","0.0-6.0-6.0","72643","20222217","common"
"1628","false","fever,headache","76","76,90","C","B","","","test","5","true","","categorize-html","64","317755","0.0-6.0-8.0","72643","20222217","common"
"2015.7000000476837","false","rash,fever","90","76,90","A","C","","","test","6","true","","categorize-html","66","321295","0.0-6.0-10.0","72643","20222217","rare"
"2085.2000000476837","false","headache,fever","76","76,90","B","C","","","test","7","true","","categorize-html","68","324906","0.0-6.0-12.0","72643","20222217","common"
"1364.3999999761581","false","headache","76","76,90","B","","","","test","8","true","","categorize-html","70","327784","0.0-6.0-14.0","72643","20222217","common"
"1493.5","false","headache,rash","90","76,90","B","A","","","test","9","true","","categorize-html","72","330796","0.0-6.0-16.0","72643","20222217","rare"
"1560.2000000476837","false","headache","76","76,90","B","","","","test","10","true","","categorize-html","74","333887","0.0-6.0-18.0","72643","20222217","common"
"935.4000000953674","false","rash","90","76,90","A","","","","test","11","true","","categorize-html","76","336341","0.0-6.0-20.0","72643","20222217","rare"
"1216.0999999046326","false","fever,rash","90","76,90","C","A","","","test","12","true","","categorize-html","78","339077","0.0-6.0-22.0","72643","20222217","rare"
"1256.7999999523163","false","fever","76","76,90","C","","","","test","13","true","","categorize-html","80","341844","0.0-6.0-24.0","72643","20222217","common"
"963.8999999761581","false","headache","76","76,90","B","","","","test","14","true","","categorize-html","82","344315","0.0-6.0-26.0","72643","20222217","common"
"1581.1999999284744","false","headache,rash","90","76,90","B","A","","","test","15","true","","categorize-html","84","347413","0.0-6.0-28.0","72643","20222217","rare"
"2348.1999999284744","false","fever,rash","90","76,90","C","A","","","test","16","true","","categorize-html","86","351290","0.0-6.0-30.0","72643","20222217","rare"
"1501.8000000715256","false","rash,headache","90","76,90","A","B","","","test","17","true","","categorize-html","88","354300","0.0-6.0-32.0","72643","20222217","rare"
"1241.8000000715256","false","rash","90","76,90","A","","","","test","18","true","","categorize-html","90","357059","0.0-6.0-34.0","72643","20222217","rare"
"1698","false","fever,headache","76","76,90","C","B","","","test","19","true","","categorize-html","92","360283","0.0-6.0-36.0","72643","20222217","common"
"1894.9000000953674","false","headache,fever","76","76,90","B","C","","","test","20","true","","categorize-html","94","363708","0.0-6.0-38.0","72643","20222217","common"
"972.1000000238419","false","rash","90","76,90","A","","","","test","21","true","","categorize-html","96","366202","0.0-6.0-40.0","72643","20222217","rare"
"1117.8999999761581","false","rash,fever","90","76,90","A","C","","","test","22","true","","categorize-html","98","368843","0.0-6.0-42.0","72643","20222217","rare"
"1303.5","false","headache","76","76,90","B","","","","test","23","true","","categorize-html","100","371667","0.0-6.0-44.0","72643","20222217","common"
